VES,lat,lon,aquifer_proxy,deep_resistivity_ohm
VES1,8.494166666666667,4.472833333333333,1,49.5
VES2,8.472333333333333,4.522166666666667,1,61.6
VES3,8.507166666666667,4.522833333333334,0,152.6
VES4,8.4895,4.527666666666667,1,70.3
VES5,8.5485,4.523833333333333,1,47.9
VES6,8.508833333333333,4.531666666666666,1,78.3
VES7,8.510833333333334,4.502166666666667,1,47.8
VES8,8.493666666666666,4.514666666666667,1,74.2
VES9,8.502333333333333,4.512833333333333,1,49.7
VES10,8.511,4.4928333333333335,1,78.7
VES11,8.473333333333333,4.497,1,90.0
VES12,8.511833333333334,4.509166666666666,1,108.0
VES13,8.509166666666667,4.520833333333333,0,210.8
VES14,8.493,4.5008333333333335,1,90.9
VES15,8.502333333333333,4.512833333333333,1,84.0
VES16,8.4965,4.5168333333333335,0,168.3
VES17,8.486666666666666,4.465333333333334,1,138.0
VES18,8.533333333333333,4.476333333333334,1,81.2
VES19,8.504166666666666,4.5085,1,132.9
VES20,8.524166666666666,4.530333333333333,1,112.7
VES21,8.525333333333334,4.4825,1,62.2
VES22,8.5075,4.512666666666667,0,311.5
VES23,8.496833333333333,4.517166666666666,0,268.4
VES24,8.537833333333333,4.519166666666667,1,66.0
VES25,8.533166666666666,4.500166666666667,1,62.2
VES26,8.501166666666666,4.531333333333333,1,95.7
VES27,8.498,4.523,1,148.3
VES28,8.489166666666666,4.516333333333334,0,165.6
VES29,8.514166666666666,4.531666666666666,1,75.1
VES30,8.5015,4.518833333333333,1,123.0
VES31,8.497666666666667,4.5335,1,93.08
VES32,8.498,4.495166666666667,1,134.3
VES33,8.510833333333334,4.491666666666666,1,70.2
VES34,8.474166666666667,4.4975,1,89.6
VES35,8.481166666666667,4.488,1,133.4
VES36,8.511166666666666,4.4911666666666665,1,104.4
VES37,8.4955,4.5168333333333335,1,62.8
VES38,8.538666666666666,4.489,1,79.3
VES39,8.495,4.5168333333333335,1,55.8
VES40,8.496333333333334,4.506166666666667,1,106.3
VES41,8.521666666666667,4.523333333333333,1,149.8
VES42,8.528333333333332,4.483833333333333,1,78.7
VES43,8.551333333333334,4.4635,1,99.9
VES44,8.501666666666667,4.497833333333333,1,69.0
VES45,8.474833333333333,4.482833333333334,1,139.1
VES46,8.499166666666667,4.4995,1,71.5
VES47,8.504333333333333,4.4885,1,36.1
VES48,8.513833333333332,4.495833333333334,1,62.8
VES49,8.527,4.509333333333333,1,75.5
VES50,8.537833333333333,4.497,1,70.0
VES51,8.535833333333333,4.533,0,195.1
VES52,8.5315,4.534166666666667,1,143.3
VES53,8.535166666666667,4.506333333333333,0,269.0
VES54,8.529833333333332,4.532,1,82.4
VES55,8.537666666666667,4.524333333333333,1,93.9
VES56,8.471666666666668,4.5285,1,41.2
VES57,8.466833333333334,4.517833333333334,0,1568.8
VES58,8.480833333333333,4.534,1,145.5
VES59,8.474,4.5343333333333335,1,66.5
VES60,8.476666666666667,4.5343333333333335,0,184.4
VES61,8.482,4.513333333333334,1,54.6
VES62,8.476166666666666,4.507333333333333,0,221.3
VES63,8.487333333333334,4.515,1,89.0
VES64,8.476333333333333,4.518166666666667,0,178.4
VES65,8.478666666666667,4.5195,1,85.5
VES66,8.478333333333333,4.509166666666666,0,267.5
VES67,8.490333333333334,4.501666666666667,1,67.8
VES68,8.4685,4.520666666666667,1,87.4
VES69,8.484833333333333,4.4965,1,140.9
VES70,8.488666666666667,4.488166666666666,0,197.1
VES71,8.485333333333333,4.480166666666666,1,73.1
VES72,8.470833333333333,4.495,0,280.2
VES73,8.492,4.485,1,104.5
VES74,8.468333333333334,4.466833333333334,1,41.3
VES75,8.478666666666667,4.480166666666666,1,94.6
VES76,8.472333333333333,4.49,1,59.8
VES77,8.480833333333333,4.487833333333334,1,88.4
VES78,8.472666666666667,4.479166666666667,1,66.6
VES79,8.470666666666666,4.506666666666667,0,204.0
VES80,8.467833333333333,4.503833333333334,1,69.2
VES81,8.470666666666666,4.515,1,27.0
VES82,8.472833333333334,4.518,1,148.0
VES83,8.478833333333334,4.495666666666667,1,106.5
VES84,8.478,4.539,0,213.6
VES85,8.490333333333334,4.506833333333334,1,58.9
